3.166268929780268193e-01,8.864683715386667551e-01,5.425958364132991152e-01,9.400103935535041311e-01,6.639244302198648029e-01
9.886353460622261391e-01,8.918265851564624036e-01,6.768161195472788272e-02,4.905523276545158406e-01,2.589803038530391621e-01
8.174494542067840541e-01,4.616190236636854571e-01,8.288348131957993248e-01,5.702207914266952393e-01,6.837895471669317438e-01
7.702168958270291244e-01,8.154482531974815984e-01,7.984841034232537105e-01,4.238817857333221362e-02,5.308139777354988764e-01
7.556013893970549011e-01,7.763316560838301461e-01,5.784276659319520508e-02,3.690174456140039583e-01,4.904372510694214871e-01
4.464955502011271893e-01,9.847205465697127513e-01,6.871814450643978223e-01,1.088858998590569449e-02,8.130815791996720554e-01
2.378634302582445237e-01,4.572084231168672686e-01,4.669345423702988551e-01,7.449818651278063975e-01,6.002015464368906095e-01
2.992855097103468420e-01,8.024713695242247091e-01,9.743914661186160453e-01,3.109508788670450885e-01,4.225407568862959984e-02
7.957411069256792313e-02,8.661262757673139356e-01,3.543385757974337746e-01,4.035067502178157905e-02,9.164801470472894174e-01
3.109499397903647822e-02,8.758934456151746817e-01,1.832018205437969671e-01,2.797205516157996730e-01,8.312819297230574778e-01
5.151910161574507763e-01,6.922016142587931187e-01,6.100879322649118697e-01,1.224107751197170968e-01,3.724003053198512436e-01
